dataset,base_variant,mode,threshold,pseudo_weight,temperature,topk_classes,prior_centering,affinity_lambda,pseudo_coverage,mean_confidence,median_confidence,train_override_count,nontrain_used_count,class_hist_base_pred,class_hist_pseudo_used,class_hist_after_affinity,predicted_class_count_before,predicted_class_count_after,prediction_entropy_before,prediction_entropy_after,valid_acc_before,valid_acc_after,test_acc_before,test_acc_after,macro_f1_before,macro_f1_after,full_edge_execution,uses_bounded_edges,uses_diffusion,uses_dense_p2,promotion_status,promotion_reason,support_nonzero_count
acm,B3_scap_v2,pseudo_scap,0.95,0.25,1.0,3,False,1.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[686, 673, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.25,1.0,3,False,2.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[688, 673, 757]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8970727324485779,0.8962585926055908,0.8976712822914124,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.25,1.0,3,True,0.25,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.25,1.0,3,True,0.5,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 674, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8951841592788696,0.8962585926055908,0.8957783381144205,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.25,1.0,3,True,1.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[686, 674, 758]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962492942810059,True,False,False,False,promoted,validation_and_test_gate_passed,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.25,1.0,3,True,2.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[688, 674, 756]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8971909085909525,True,False,False,False,promoted,validation_and_test_gate_passed,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,False,0.25,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,False,0.5,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,False,1.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[686, 673, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,False,2.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[688, 673, 757]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8970727324485779,0.8962585926055908,0.8976712822914124,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,True,0.25,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,True,0.5,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 674, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8951841592788696,0.8962585926055908,0.8957783381144205,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,True,1.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[686, 674, 758]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962492942810059,True,False,False,False,promoted,validation_and_test_gate_passed,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.25,2.0,3,True,2.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[688, 674, 756]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8971909085909525,True,False,False,False,promoted,validation_and_test_gate_passed,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,False,0.25,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,False,0.5,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,False,1.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[687, 673, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8972005049387614,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,False,2.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[687, 673, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8975448608398438,0.8962585926055908,0.8981701731681824,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,True,0.25,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,True,0.5,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 674, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8951841592788696,0.8962585926055908,0.8957783381144205,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,True,1.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[687, 674, 757]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967201709747314,True,False,False,False,promoted,validation_and_test_gate_passed,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,1.0,3,True,2.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[689, 673, 756]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8980169892311096,0.8962585926055908,0.8986613949139913,True,False,False,False,promoted,validation_and_test_gate_passed,2349
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,False,0.25,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,False,0.5,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,False,1.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[687, 673, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8972005049387614,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,False,2.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[687, 673, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8975448608398438,0.8962585926055908,0.8981701731681824,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,True,0.25,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,True,0.5,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 674, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8951841592788696,0.8962585926055908,0.8957783381144205,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,True,1.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[687, 674, 757]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967201709747314,True,False,False,False,promoted,validation_and_test_gate_passed,2322
acm,B3_scap_v2,pseudo_scap,0.95,0.5,2.0,3,True,2.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[689, 673, 756]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8980169892311096,0.8962585926055908,0.8986613949139913,True,False,False,False,promoted,validation_and_test_gate_passed,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,False,0.25,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,False,0.5,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[686, 673, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,False,1.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[688, 672, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8970727324485779,0.8962585926055908,0.8977027336756388,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,False,2.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[689, 673, 756]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8989613056182861,0.8962585926055908,0.8996047774950663,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,True,0.25,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,True,0.5,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[686, 674, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962492942810059,True,False,False,False,blocked,validation_no_improvement,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,True,1.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[688, 673, 757]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8972220420837402,True,False,False,False,promoted,validation_and_test_gate_passed,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,1.0,3,True,2.0,0.96,0.9937100410461426,1.0,725,2208,"[685, 673, 760]","[925, 958, 1050]","[689, 674, 755]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8984891176223755,0.8962585926055908,0.8991236289342245,True,False,False,False,promoted,validation_and_test_gate_passed,2349
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,False,0.25,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,False,0.5,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[686, 673, 759]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8961284160614014,0.8962585926055908,0.8967296083768209,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,False,1.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[688, 672, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8970727324485779,0.8962585926055908,0.8977027336756388,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,False,2.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[689, 673, 756]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8989613056182861,0.8962585926055908,0.8996047774950663,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,True,0.25,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[685, 673, 760]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962585926055908,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,True,0.5,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[686, 674, 758]",3,3,,,0.9285714030265808,0.9285714030265808,0.8956562876701355,0.8956562876701355,0.8962585926055908,0.8962492942810059,True,False,False,False,blocked,validation_no_improvement,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,True,1.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[688, 673, 757]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8966005444526672,0.8962585926055908,0.8972220420837402,True,False,False,False,promoted,validation_and_test_gate_passed,2322
acm,B3_scap_v2,pseudo_scap,0.95,1.0,2.0,3,True,2.0,0.9217391304347826,0.9854782819747925,0.9999982118606567,725,2120,"[685, 673, 760]","[894, 943, 1008]","[689, 674, 755]",3,3,,,0.9285714030265808,0.9340659379959106,0.8956562876701355,0.8984891176223755,0.8962585926055908,0.8991236289342245,True,False,False,False,promoted,validation_and_test_gate_passed,2322
dblp,B2_metapath,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,blocked,no_target_target_relation_for_pseudo_scap,
imdb,B2_metapath,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,blocked,no_target_target_relation_for_pseudo_scap,
